A Digital Hardware Implementation for A new Mixed-Order Nonlinear 3-D Chaotic System,Elsafty A.H. ,"Nile University, Nanoelectronics Integrated Systems Center (NISC), Giza,",57202986074,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57202986074&zone=,"Elsafty, Abdulaziz H.","Elsafty, Abdulaziz H. ; ElSafty, Abdulaziz H. ; Elsafty, Abdulaziz H."
Optimal windowing and decision feedback equalization for space-frequency alamouti-coded OFDM in doubly selective channels, El-Keyi A. ,"Wireless Intelligent Networks Center, Nile University, Giza 12677,",8882086900,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=8882086900&zone=,"El-Keyi, Amr Fawzy","El-Keyi, Amr Fawzy ; El-Keyi, Amr"
Optimizing Cooperative Cognitive Radio Networks Performance with Primary QoS Provisioning, El-Keyi A. ,"Wireless Intelligent Networks Center, Nile University, Giza, 12588,",8882086900,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=8882086900&zone=,"El-Keyi, Amr Fawzy","El-Keyi, Amr Fawzy ; El-Keyi, Amr"
Power control for constrained throughput maximization in spectrum shared networks, El-Keyi A. ,"Wireless Intelligent Networks Center (WINC), Nile University, Cairo,",8882086900,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=8882086900&zone=,"El-Keyi, Amr Fawzy","El-Keyi, Amr Fawzy ; El-Keyi, Amr"
Proactive location-based scheduling of delay-constrained traffic over fading channels, El-Keyi A. ,"Wireless Intelligent Networks Center (WINC), Nile University, Cairo,",8882086900,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=8882086900&zone=,"El-Keyi, Amr Fawzy","El-Keyi, Amr Fawzy ; El-Keyi, Amr"
Propagation modeling for accurate indoor WLAN RSS-based localization, El-Keyi A. ,"Wireless Intelligent Networks Center (WINC), Nile University, Cairo,",8882086900,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=8882086900&zone=,"El-Keyi, Amr Fawzy","El-Keyi, Amr Fawzy ; El-Keyi, Amr"
QOS-constrained multiuser peer-to-peer amplify-and-forward relay beamforming, El-Keyi A. ,"Wireless Intelligent Networks Center (WINC), Nile University, Smart Village, Giza,",8882086900,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=8882086900&zone=,"El-Keyi, Amr Fawzy","El-Keyi, Amr Fawzy ; El-Keyi, Amr"
Reduced-complexity SFBC-OFDM for vehicular channels with high mobility, El-Keyi A. ,"Wireless Intelligent Networks Center (WINC), Nile University, Cairo,",8882086900,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=8882086900&zone=,"El-Keyi, Amr Fawzy","El-Keyi, Amr Fawzy ; El-Keyi, Amr"
Resource allocation for throughput enhancement in cellular shared relay networks, El-Keyi A. ,"Wireless Intelligent Networks Center (WINC), Nile University, Cairo,",8882086900,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=8882086900&zone=,"El-Keyi, Amr Fawzy","El-Keyi, Amr Fawzy ; El-Keyi, Amr"
Stability and delay analysis for cooperative relaying with multi-access transmission, El-Keyi A. ,"Wireless Intelligent Networks Center (WINC), Nile University, Giza,",8882086900,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=8882086900&zone=,"El-Keyi, Amr Fawzy","El-Keyi, Amr Fawzy ; El-Keyi, Amr"
Transmit and receive cooperative cognition: Protocol design and stability analysis, El-Keyi A. ,"Wireless Intelligent Networks Center (WINC), Nile University, Giza,",8882086900,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=8882086900&zone=,"El-Keyi, Amr Fawzy","El-Keyi, Amr Fawzy ; El-Keyi, Amr"
Malware Detection using Opcode Trigram Sequence with SVM,Elkhawas A.I. ,"Information Security- School of Communication and Information Technology, Nile University, Giza Cairo,",57205492693,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57205492693&zone=,"Elkhawas, Amr I.","Elkhawas, Amr I."
Security Perspective in RAMI 4.0,Elkhawas A.I. ,"Information Security - School of Communication and Information Technology, Nile University,",57205492693,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57205492693&zone=,"Elkhawas, Amr I.","Elkhawas, Amr I."
Classifying Upper Limb Activities Using Deep Neural Networks,Elkholy H.A. ,"Smart Engineering Systems Research Center (SESC), Nile University, Sheikh Zayed City, Giza  12588,",57211990192,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57211990192&zone=,"Elkholy, Hassan Ashraf","Elkholy, Hassan Ashraf"
Path Planning of a Self Driving Vehicle Using Artificial Intelligence Techniques and Machine Vision,Elkholy H.A. ,"Smart Engineering Systems Research Center (SESC), Nile University, Shaikh Zayed City, Giza  12588,",57211990192,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57211990192&zone=,"Elkholy, Hassan Ashraf","Elkholy, Hassan Ashraf"
PID Controller for 2-DOFs Twin Rotor MIMO System Tuned with Particle Swarm Optimization, Elkholy H.A. ,"School of Engineering and Applied Sciences, Nile University Campus, Juhayna Square, Sheikh Zayed District, 6th of October City, Giza, 12588,",57211990192,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57211990192&zone=,"Elkholy, Hassan Ashraf","Elkholy, Hassan Ashraf"
Solving Inverse Kinematics of a 7-DOF Manipulator Using Convolutional Neural Network,Elkholy H.A. ,"Smart Engineering Systems Research Center (SESC), Nile University, Shaikh Zayed City, Giza  12588,",57211990192,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57211990192&zone=,"Elkholy, Hassan Ashraf","Elkholy, Hassan Ashraf"
Cache-Aided Combination Networks with Interference,Elkordy A.R. ,"Intelligent Networks Center, Nile University, Giza, 16453,",57214211605,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57214211605&zone=,"Elkordy, Ahmed Roushdy","Elkordy, Ahmed Roushdy"
A New Web Deception System Framework,El-Kosairy A. ,"Nile University, Cairo,",57203914918,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57203914918&zone=,"El-Kosairy, Ahmed","El-Kosairy, Ahmed"
Asymmetric degrees of freedom of the full-duplex MIMO 3-way channel,Elmahdy A.M. ,"Wireless Intelligent Networks Center (WINC), Nile University, Giza,",57191407034,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57191407034&zone=,"Elmahdy, Adel M.","Elmahdy, Adel M. ; Elmahdy, Adel"
On optimizing cooperative cognitive user performance under primary QoS constraints,Elmahdy A.M. ,"Wireless Intelligent Networks Center (WINC), Nile University, Giza,",57191407034,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57191407034&zone=,"Elmahdy, Adel M.","Elmahdy, Adel M. ; Elmahdy, Adel"
On the stable throughput of cooperative cognitive radio networks with finite relaying buffer,Elmahdy A.M. ,"Wireless Intelligent Networks Center (WINC), Nile University, Giza,",57191407034,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57191407034&zone=,"Elmahdy, Adel M.","Elmahdy, Adel M. ; Elmahdy, Adel"
Optimizing Cooperative Cognitive Radio Networks Performance with Primary QoS Provisioning,Elmahdy A.M. ,"Wireless Intelligent Networks Center (WINC), Nile University, Giza, 12588,",57191407034,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57191407034&zone=,"Elmahdy, Adel M.","Elmahdy, Adel M. ; Elmahdy, Adel"
Pre-Encrypted user data for secure passive UHF RFID communication,El-Mahgoub K. ,"Nile University, Cairo,",36625195300,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=36625195300&zone=,"El-Mahgoub, Khaled","El-Mahgoub, Khaled ; El Mahgoub, Khaled"
Decoding arm kinematics from EMG signals using Kalman filter,ElMohandes H. ,"Center of Informatics Science, Nile University, Giza,",57204425583,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57204425583&zone=,"ElMohandes, Hend","ElMohandes, Hend"
Proactive scheduling for content pre-fetching in mobile networks, Elmohsen M.A. ,"Nile University, Giza,",6504468658,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=6504468658&zone=,"Elmohsen, M. Abd","Elmohsen, M. Abd"
A novel stochastic geometrical model for wideband MIMO-V2V channels,Elmoslimany A. ,"Wireless Intelligent Networks Center (WINC), Nile University, Giza, 12677,",55349821400,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=55349821400&zone=,"ElMoslimany, Ahmad","ElMoslimany, Ahmad ; Elmoslimany, Ahmad ; ElMoslimany, Ahmad A."
MIMO vehicle to vehicle channels: An experimental study, Elmoslimany A. ,"Nile University, Giza,",55349821400,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=55349821400&zone=,"ElMoslimany, Ahmad","ElMoslimany, Ahmad ; Elmoslimany, Ahmad ; ElMoslimany, Ahmad A."
MIMO vehicular networks: Research challenges and opportunities, ElMoslimany A.A. ,"Wireless Intelligent Networks Center, Nile University,",55349821400,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=55349821400&zone=,"ElMoslimany, Ahmad","ElMoslimany, Ahmad ; Elmoslimany, Ahmad ; ElMoslimany, Ahmad A."
Design and analysis of 2T2M hybrid CMOS-Memristor based RRAM, El-Naggar A.M. ,"Nanoelectronics Integrated Systems Center (NISC), Nile University,",57193568481,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57193568481&zone=,"El-Naggar, Ahmed M.","El-Naggar, Ahmed M. ; El-Naggar, Ahmed M."
Fractional order four-phase oscillator based on double integrator topology,El-Naggar A.M. ,"NISC Research Center, Nile University, Cairo,",57193568481,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57193568481&zone=,"El-Naggar, Ahmed M.","El-Naggar, Ahmed M. ; El-Naggar, Ahmed M."
Reactance-less RM relaxation oscillator using exponential memristor model,El-Naggar A.M. ,"Nanoelectronics Integrated Systems Center (NISC), Nile University, Giza,",57193568481,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57193568481&zone=,"El-Naggar, Ahmed M.","El-Naggar, Ahmed M. ; El-Naggar, Ahmed M."
Maximizing USRP N210 SDR transfer rate by offloading modulation to the on-board FPGA, Elnainay M.Y. ,"Wireless Intelligent Networks Center (WINC), Nile University, Giza,",55884206800,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=55884206800&zone=,"ElNainay, Mustafa","ElNainay, Mustafa ; Elnainay, Mustafa Y. ; Elnainayz, Mustafa ; El-Nainay, Mustafa ; El Nainay, Mustafa Y. ; El Nainay, Mustafa ; ElNainay, Mustafa Y. ; Elnainay, Mustafa ; El-Nainay, Mustafa Y."
Proactive scheduling for content pre-fetching in mobile networks, Elnakieb Y. ,"Nile University, Giza,",56353099800,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=56353099800&zone=,"Elnakieb, Yaser A.","Elnakieb, Yaser A. ; Elnakieb, Yaser ; Elnakieb, Y."
Cluster Head election in Wireless Sensor Networks,El-Refaay S. ,"Ahram Canadian University, Nile University, Cairo,",56598003500,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=56598003500&zone=,"El-Refaay, Sara","El-Refaay, Sara"
Assessment of cardiac mass from tagged magnetic resonance images, El-Rewaidy H. ,"Nile University, Cairo,",56165295300,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=56165295300&zone=,"El-Rewaidy, Hossam A.","El-Rewaidy, Hossam A. ; El-Rewaidy, Hossam"
Segmentation of the right ventricle in MRI images using a dual active shape model,El-Rewaidy H. ,"Center for Informatics Science, Nile University, Giza,",56165295300,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=56165295300&zone=,"El-Rewaidy, Hossam A.","El-Rewaidy, Hossam A. ; El-Rewaidy, Hossam"
Current source based standard-cell model for accurate timing analysis of combinational logic cells, El-Rouby A. ,"Nile University/ Mentor Graphics Corporation, Cairo,",27367758300,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=27367758300&zone=,"El-Rouby, Alaa B.","El-Rouby, Alaa B. ; El Rouby, Alaa B. ; El-Rouby, A. B. ; El-Rouby, Alaa ; El Rouby, Alaa ; El-Rouby, Alaa E. ; El-Rouby, A. ; El Rouby, A. B."
Face and gesture recognition for human computer interaction employing 2DHoG, Elsaadany O.S. ,"Nile University, 6th October,",55882104200,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=55882104200&zone=,"Elsaadany, Omnia S.","Elsaadany, Omnia S."
Real-time 2DHoG-2DPCA algorithm for hand gesture recognition,Elsaadany O.S. ,"Nile University,",55882104200,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=55882104200&zone=,"Elsaadany, Omnia S.","Elsaadany, Omnia S."
AROMA: Automatic generation of radio maps for localization systems, Elsabagh M. ,"Wireless Intel. Net. Center, Nile University, Giza,",57217908998,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57217908998&zone=,"Elsabagh, Mohamed","Elsabagh, Mohamed"
ARQ security in Wi-Fi and RFID networks,Elsabagh M. ,"Wireless Intelligent Networks Center (WINC), Nile University, Cairo,",57217908998,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57217908998&zone=,"Elsabagh, Mohamed","Elsabagh, Mohamed"
Synthetic generation of radio maps for device-free passive localization, Elsabagh M. ,"Wireless Intelligent Networks Center, Nile University,",57217908998,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57217908998&zone=,"Elsabagh, Mohamed","Elsabagh, Mohamed"
"Hardware Advancements Effects on MANET Development, Application and Research", ElSabrouty K. ,"Nile University, Cairo,",56287785700,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=56287785700&zone=,"ElSabrouty, Khaled","ElSabrouty, Khaled"
A study of the nonlinear dynamics of human behavior and its digital hardware implementation,ElSafty A.H. ,"NISC Research Center, Nile University, Cairo,",57202986074,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57202986074&zone=,"Elsafty, Abdulaziz H.","Elsafty, Abdulaziz H. ; ElSafty, Abdulaziz H. ; Elsafty, Abdulaziz H."
Center pulse width modulation implementation based on memristor, Elsafty A.H. ,"Nanoelectronics Integrated Systems Center (NISC), Nile University, Giza,",57202986074,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57202986074&zone=,"Elsafty, Abdulaziz H.","Elsafty, Abdulaziz H. ; ElSafty, Abdulaziz H. ; Elsafty, Abdulaziz H."
FPGA Speech Encryption Realization Based on Variable S-Box and Memristor Chaotic Circuit,Elsafty A.H. ,"NISC Research Center, Nile University, Giza,",57202986074,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57202986074&zone=,"Elsafty, Abdulaziz H.","Elsafty, Abdulaziz H. ; ElSafty, Abdulaziz H. ; Elsafty, Abdulaziz H."
Hardware realization of a secure and enhanced s-box based speech encryption engine,ElSafty A.H. ,"Nanoelectronics Integrated Systems Center (NISC), Nile University, Giza,",57202986074,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57202986074&zone=,"Elsafty, Abdulaziz H.","Elsafty, Abdulaziz H. ; ElSafty, Abdulaziz H. ; Elsafty, Abdulaziz H."
Incremental Grounded Voltage Controlled Memristor Emulator, Elsafty A.H. ,"NISC Research Center, Nile University, Giza,",57202986074,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57202986074&zone=,"Elsafty, Abdulaziz H.","Elsafty, Abdulaziz H. ; ElSafty, Abdulaziz H. ; Elsafty, Abdulaziz H."
Study of fractional flux-controlled memristor emulator connections,Elsafty A.H. ,"NISC Research Center, Nile University, Giza,",57202986074,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57202986074&zone=,"Elsafty, Abdulaziz H.","Elsafty, Abdulaziz H. ; ElSafty, Abdulaziz H. ; Elsafty, Abdulaziz H."
Synchronization and FPGA realization of fractional-order Izhikevich neuron model, Elsafty A.H. ,"Nanoelectronics Integrated Systems Center (NISC), Nile University, Giza,",57202986074,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57202986074&zone=,"Elsafty, Abdulaziz H.","Elsafty, Abdulaziz H. ; ElSafty, Abdulaziz H. ; Elsafty, Abdulaziz H."
A fully automated approach for Arabic slang lexicon extraction from microblogs,Elsahar H. ,"Center of Informatics Sciences, Nile University, Cairo,",56151546900,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=56151546900&zone=,"Elsahar, Hady","Elsahar, Hady ; ElSahar, Hady"
Building large arabic multi-domain resources for sentiment analysis,ElSahar H. ,"Center of Informatics Sciences, Nile University, Cairo,",56151546900,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=56151546900&zone=,"Elsahar, Hady","Elsahar, Hady ; ElSahar, Hady"
Cold flow numerical simulation inside local pottery furnace for different designs for the air inlet, El-Sakka A. ,"Nile University, School of Engineering and Applied Sciences, Sheikh Zayed District, Giza, 12588,",57212309118,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57212309118&zone=,"El-Sakka, Alia","El-Sakka, Alia"
Cognitive radio transmission strategies for primary erasure channels,Elsamadouny A. ,"Wireless Intelligent Networks Center (WINC), Nile University, Cairo,",55695789200,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=55695789200&zone=,"ElSamadouny, Ahmed","ElSamadouny, Ahmed ; Elsamadouny, Ahmed"
Design and implementation of variable inclined air pillow soft pneumatic actuator suitable for bioimpedance applications, Elsamanty M. ,"Smart Engineering Systems Research Center (SESC), Nile University,",55849094400,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=55849094400&zone=,"Elsamanty, M.","Elsamanty, M. ; Elsamanty, M. ; Elsamanty, Mahmoud Mohamed ; Elsamanty, Mahmoud"
Modelling of Continuum Robotic Arm Using Artificial Neural Network (ANN), Elsamanty M.M. ,"Nile University, School of Engineering and Applied Sciences, Giza,",55849094400,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=55849094400&zone=,"Elsamanty, M.","Elsamanty, M. ; Elsamanty, M. ; Elsamanty, Mahmoud Mohamed ; Elsamanty, Mahmoud"
Solving Inverse Kinematics of a 7-DOF Manipulator Using Convolutional Neural Network, Elsamanty M. ,"School of Engineering and Applied Sciences, Nile University Campus, Sheikh Zayed District, Juhayna Square, 6th of October City, Giza  12588,",55849094400,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=55849094400&zone=,"Elsamanty, M.","Elsamanty, M. ; Elsamanty, M. ; Elsamanty, Mahmoud Mohamed ; Elsamanty, Mahmoud"
Performance evaluation and comparison of the top market virtualization hypervisors,Elsayed A. ,"School of Communication and Information Technology, Nile University, Giza,",56029469700,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=56029469700&zone=,"Elsayed, Abdellatief","Elsayed, Abdellatief"
Distributed component-based framework for Unmanned Air Vehicle systems,El-Sayed A. ,"Ubiquitous Computing Group, Nile University, Cairo,",36809369700,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=36809369700&zone=,"El-Sayed, Agwad","El-Sayed, Agwad"
Light-ECV: An intelligent lightweight framework for embedded computer vision applications,El-Sayed A. ,"Ubiquitous Computing Group, Nile University, Cairo,",36809369700,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=36809369700&zone=,"El-Sayed, Agwad","El-Sayed, Agwad"
WASP: Wireless autonomous sensor prototype for Visual Sensor Networks, El-Sayed A. ,"Ubiquitous Computing Group, Center for Informatics Science, Nile University,",36809369700,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=36809369700&zone=,"El-Sayed, Agwad","El-Sayed, Agwad"
Ambient and wearable sensing for gait classification in pervasive healthcare environments,ElSayed M. ,"Ubiquitous Computing Group, Center for Informatics Science, Nile University, Cairo,",57198181345,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57198181345&zone=,"ElSayed, Mahmoud Said","ElSayed, Mahmoud Said ; ElSayed, M. ; Elsayed, Mahmoud Said"
Change analysis for gait impairment quantification in smart environments, ElSayed M. ,"Ubiquitous Computing Group, Center for Informatics Science, Nile University, Cairo,",57198181345,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57198181345&zone=,"ElSayed, Mahmoud Said","ElSayed, Mahmoud Said ; ElSayed, M. ; Elsayed, Mahmoud Said"
Detection and Countermeasures of DDoS Attacks in Cloud Computing,Elsayed M.S. ,"Nile University, Cairo,",57198181345,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57198181345&zone=,"ElSayed, Mahmoud Said","ElSayed, Mahmoud Said ; ElSayed, M. ; Elsayed, Mahmoud Said"
Health Records Privacy Issues in Cloud Computing,Elsayed M.S. ,"Information Security Program, Nile University, Cairo,",57198181345,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57198181345&zone=,"ElSayed, Mahmoud Said","ElSayed, Mahmoud Said ; ElSayed, M. ; Elsayed, Mahmoud Said"
Modelling of Continuum Robotic Arm Using Artificial Neural Network (ANN), Elsayed N.S. ,"Nile University, School of Engineering and Applied Sciences, Giza,",57212316656,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57212316656&zone=,"Elsayed, Nada Saif","Elsayed, Nada Saif"
On-board multiple target detection and tracking on camera-equipped aerial vehicles, Elsayed R. ,"Ubiquitous Computing Group, Nile University, Cairo,",55657427500,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=55657427500&zone=,"Elsayed, Ramy","Elsayed, Ramy"
Large scale detection of IDN domain name masquerading,Elsayed Y. ,"Nile University, Cairo,",57202783028,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57202783028&zone=,"Elsayed, Yahia","Elsayed, Yahia"
Prediction of the Hitec Molten Salt Convective Heat Transfer Performance Using Artificial Neural Networks,ElShafei A.I. ,"Smart Engineering Systems Research Center (SESC), Nile University, Giza, 12588,",57216272603,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57216272603&zone=,"ElShafei, Ahmed Ibrahim","ElShafei, Ahmed Ibrahim"
"Hardware Advancements Effects on MANET Development, Application and Research", ElShafei E. ,"Nile University, Cairo,",55358545700,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=55358545700&zone=,"ElShafei, Ehab","ElShafei, Ehab ; Elshafei, Ehab"
Segmentation of Diabetic Macular Edema in fluorescein angiograms,El-Shahawy M.S. ,"Center for Informatics Science, Nile University, Cairo,",54388676700,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=54388676700&zone=,"El-Shahawy, Maha S.","El-Shahawy, Maha S."
Learning of mobile-traffic patterns for resource management and dynamic power controlling,El-Shal I. ,"Informatics Science Center (INF), Nile University, Giza,",57219396114,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57219396114&zone=,"El-Shal, Ibrahim","El-Shal, Ibrahim"
Path Planning of a Self Driving Vehicle Using Artificial Intelligence Techniques and Machine Vision, Elsharkawy O.I. ,"Smart Engineering Systems Research Center (SESC), Nile University, Shaikh Zayed City, Giza  12588,",57216269446,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57216269446&zone=,"Elsharkawy, Omar Ibrahim","Elsharkawy, Omar Ibrahim"
MC-GenomeKey: A multicloud system for the detection and annotation of genomic variants,Elshazly H. ,"Nile University, Juhayna Square, Sheikh Zayed, Center for Informatics Sciences, Giza,",57217958079,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57217958079&zone=,"Elshazly, Hatem","Elshazly, Hatem"
Novel 3D memory-centric NoC architecture for transaction-based SoC applications, Elsherief A. ,"Nanoelectronics Integrated Systems Center (NISC), Nile University/Northwestern University,",42261336400,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=42261336400&zone=,"Elsherief, Amr","Elsherief, Amr"
"Demo: O'BTW - An opportunistic, similarity-based mobile recommendation system",ElSherief M. ,"Wireless Intelligent Networks Center (WINC), Nile University, Giza,",55813012400,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=55813012400&zone=,"ElSherief, Mai","ElSherief, Mai ; Elsherief, Mai"
A novel proximity based trust model for opportunistic networks,El-Sherief M.H. ,"National Telecommunication Institute, Nile University, Cairo,",56002036500,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=56002036500&zone=,"El-Sherief, Mai H.","El-Sherief, Mai H."
A Queueing Theory Approach to Small-Cell Assisted IoT Traffic Offloading, El-Sherif A.A. ,"Wireless Intelligent Networks Center (WINC), Nile University, Giza,",23566337700,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=23566337700&zone=,"El-Sherif, Amr A.","El-Sherif, Amr A. ; Sherif, Amr El ; El-Sherif, Amr A. ; El-Sherif, Amr ; El Sherif, Amr"
Cooperation and underlay mode selection in cognitive radio network, El-Sherif A.A. ,"Wireless Intelligent Networks Center (WINC), Nile University,",23566337700,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=23566337700&zone=,"El-Sherif, Amr A.","El-Sherif, Amr A. ; Sherif, Amr El ; El-Sherif, Amr A. ; El-Sherif, Amr ; El Sherif, Amr"
Cooperative D2D communications in the uplink of cellular networks with time and power division, Sherif A.E. ,"Wireless Intelligent Networks Center (WINC), Nile University, Giza,",23566337700,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=23566337700&zone=,"El-Sherif, Amr A.","El-Sherif, Amr A. ; Sherif, Amr El ; El-Sherif, Amr A. ; El-Sherif, Amr ; El Sherif, Amr"
CRC: Collaborative research and teaching testbed for wireless communications and networks, El-Sherif A.A. ,"Wireless Intelligent Networks Center (WINC), Nile University, Giza,",23566337700,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=23566337700&zone=,"El-Sherif, Amr A.","El-Sherif, Amr A. ; Sherif, Amr El ; El-Sherif, Amr A. ; El-Sherif, Amr ; El Sherif, Amr"
Energy Efficiency Optimization through RRHs ON/OFF Switching Technique in C-RAN, El-Sherif A.A. ,"Wireless Intelligent Networks Center (WINC), Nile University, Giza,",23566337700,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=23566337700&zone=,"El-Sherif, Amr A.","El-Sherif, Amr A. ; Sherif, Amr El ; El-Sherif, Amr A. ; El-Sherif, Amr ; El Sherif, Amr"
Geographic Routing with Cooperation for Reliable Paths in Device-to-Device Networks, El-Sherif A.A. ,"Wireless Intelligent Networks Center, Nile University, Giza,",23566337700,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=23566337700&zone=,"El-Sherif, Amr A.","El-Sherif, Amr A. ; Sherif, Amr El ; El-Sherif, Amr A. ; El-Sherif, Amr ; El Sherif, Amr"
Hierarchical proactive caching for vehicular ad hoc networks, El-Sherif A.A. ,"Nile University, Wireless Intelligent Network Center (WINC), Giza,",23566337700,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=23566337700&zone=,"El-Sherif, Amr A.","El-Sherif, Amr A. ; Sherif, Amr El ; El-Sherif, Amr A. ; El-Sherif, Amr ; El Sherif, Amr"
Hybrid ARQ-CQI Feedback-Based Access Scheme in Cognitive Radio Networks, El-Sherif A.A. ,"Wireless Intelligent Networks Center, Nile University, Giza, 12588,",23566337700,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=23566337700&zone=,"El-Sherif, Amr A.","El-Sherif, Amr A. ; Sherif, Amr El ; El-Sherif, Amr A. ; El-Sherif, Amr ; El Sherif, Amr"
Hybrid feedback-based access scheme for cognitive radio systems, El-Sherif A.A. ,"Wireless Intelligent Networks Center (WINC), Nile University, Giza, 12588,",23566337700,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=23566337700&zone=,"El-Sherif, Amr A.","El-Sherif, Amr A. ; Sherif, Amr El ; El-Sherif, Amr A. ; El-Sherif, Amr ; El Sherif, Amr"
