Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Document Type,Publication Stage,Access Type,Source,EID,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46,Column47,Column48,Column49,Column50,Column51,Column52,Column53,Column54,Column55,Column56,Column57,Column58,Column59,Column60,Column61,Column62,Column63,Column64,Column65,Column66,Column67,Column68,Column69,Column70,Column71,Column72,Column73,Column74,Column75,Column76,Column77,Column78,Column79,Column80,Column81,Column82,Column83,Column84,Column85,Column86,Column87,Column88,Column89,Column90,Column91,Column92,Column93,Column94,Column95,Column96,Column97,Column98,Column99,Column100,Column101,Column102,Column103,Column104,Column105,Column106,Column107,Column108,Column109,Column110,Column111,Column112,Column113,Column114,Column115,Column116,Column117,Column118,Column119,Column120,Column121,Column122,Column123,Column124,Column125,Column126,Column127,Column128,Column129,Column130,Column131,Column132,Column133,Column134,Column135,Column136,Column137,Column138,Column139,Column140,Column141,Column142,Column143,Column144,Column145,Column146,Column147,Column148,Column149,Column150,Column151,Column152,Column153,Column154,Column155,Column156,Column157,Column158,Column159,Column160,Column161,Column162,Column163,Column164,Column165,Column166,Column167,Column168,Column169,Column170,Column171,Column172,Column173,Column174,Column175,Column176,Column177,Column178,Column179,Column180,Column181,Column182,Column183,Column184,Column185,Column186,Column187,Column188,Column189,Column190,Column191,Column192,Column193,Column194,Column195,Column196,Column197,Column198,Column199,Column200,Column201,Column202,Column203,Column204,Column205,Column206,Column207,Column208,Column209,Column210,Column211,Column212,Column213,Column214,Column215,Column216,Column217,Column218,Column219,Column220,Column221,Column222,Column223,Column224,Column225,Column226,Column227,Column228,Column229,Column230,Column231,Column232,Column233,Column234,Column235,Column236,Column237,Column238,Column239,Column240,Column241,Column242,Column243,Column244,Column245,Column246,Column247,Column248,Column249,Column250,Column251,Column252,Column253,Column254,Column255,Column256,Column257,Column258,Column259,Column260,Column261,Column262,Column263,Column264,Column265,Column266,Column267,Column268,Column269,Column270,Column271,Column272,Column273,Column274,Column275,Column276,Column277,Column278,Column279,Column280,Column281,Column282,Column283,Column284,Column285,Column286,Column287,Column288,Column289,Column290,Column291,Column292,Column293,Column294,Column295,Column296,Column297,Column298,Column299,Column300,Column301,Column302,Column303,Column304,Column305,Column306,Column307,Column308,Column309,Column310,Column311,Column312,Column313,Column314,Column315,Column316,Column317,Column318,Column319,Column320,Column321,Column322,Column323,Column324,Column325,Column326,Column327,Column328,Column329,Column330,Column331,Column332,Column333,Column334,Column335,Column336,Column337,Column338,Column339,Column340,Column341,Column342,Column343,Column344,Column345,Column346,Column347,Column348,Column349,Column350,Column351,Column352,Column353,Column354,Column355,Column356,Column357,Column358,Column359,Column360,Column361,Column362,Column363,Column364,Column365,Column366,Column367,Column368,Column369
"Salaheldin A., Maher S., El Helw M.",36081995600;56095988800;55545967500;,Robust real-time tracking with diverse ensembles and random projections,2013,Proceedings of the IEEE International Conference on Computer Vision,,,6755886,112,120,,8,10.1109/ICCVW.2013.21,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897503184&doi=10.1109%2fICCVW.2013.21&partnerID=40&md5=12e3b325c5d1fecb8bdd5109bdeadb8b,"Center for Informatics Science, Nile University, Giza, Egypt","Salaheldin, A., Center for Informatics Science, Nile University, Giza, Egypt; Maher, S., Center for Informatics Science, Nile University, Giza, Egypt; El Helw, M., Center for Informatics Science, Nile University, Giza, Egypt",Conference Paper,Final,,Scopus,2-s2.0-84897503184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Salaheldin A., Elkerdawi S.M., Elhelw M.",36081995600;56545720200;7801537176;,Robust scale-invariant object tracking,2014,Advances in Intelligent Systems and Computing,252,,,715,724,,,10.1007/978-3-319-03413-3_53,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924548377&doi=10.1007%2f978-3-319-03413-3_53&partnerID=40&md5=fe1158dae61cf21cd4bae1c9efe024df,"Center for Informatics Science, Nile University, Giza, Egypt","Salaheldin, A., Center for Informatics Science, Nile University, Giza, Egypt; Elkerdawi, S.M., Center for Informatics Science, Nile University, Giza, Egypt; Elhelw, M., Center for Informatics Science, Nile University, Giza, Egypt",Conference Paper,Final,,Scopus,2-s2.0-84924548377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sayed A.S., Gomaa I.E.O., Bader M., El Sayed N.S.E.D.",57185098200;8579959800;7202377883;36129322300;,Role of 3-Acetyl-11-Keto-Beta-Boswellic Acid in Counteracting LPS-Induced Neuroinflammation via Modulation of miRNA-155,2018,Molecular Neurobiology,55,7,,5798,5808,,7,10.1007/s12035-017-0801-2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032477793&doi=10.1007%2fs12035-017-0801-2&partnerID=40&md5=50341f44707d06fa4ff277eadd57c0ee,"Department of Pharmaceutical Biology, Faculty of Pharmacy and Biotechnology, German University in Cairo, Main Entrance of Al Tagamoa Al Khames, New Cairo City, 11835, Egypt; Biotechnology Sector, Faculty of Pharmacy and Biotechnology, German University in Cairo, Cairo, Egypt; School of Engineering and Applied Sciences, Nile University, Cairo, Egypt; Nano Science and Technology Institute, Kafr El-Sheikh University, Kafr El-Sheikh, Egypt; Juhayna Square, Sheik Zayed District, 6 October City, Giza, Cairo, 12588, Egypt; Max-Delbrück-Center for Molecular Medicine (MDC), Robert-Rössle-Strasse 10, Berlin, 13125, Germany; Department of Pharmacology and Toxicology, Faculty of Pharmacy, Cairo University, Giza, 12613, Egypt; Department of Pharmacology and Toxicology, Faculty of Pharmacy and Biotechnology, German University in Cairo, Main Entrance of Al Tagamoa Al Khames, New Cairo City, 11835, Egypt","Sayed, A.S., Department of Pharmaceutical Biology, Faculty of Pharmacy and Biotechnology, German University in Cairo, Main Entrance of Al Tagamoa Al Khames, New Cairo City, 11835, Egypt; Gomaa, I.E.O., Biotechnology Sector, Faculty of Pharmacy and Biotechnology, German University in Cairo, Cairo, Egypt, School of Engineering and Applied Sciences, Nile University, Cairo, Egypt, Nano Science and Technology Institute, Kafr El-Sheikh University, Kafr El-Sheikh, Egypt, Juhayna Square, Sheik Zayed District, 6 October City, Giza, Cairo, 12588, Egypt; Bader, M., Max-Delbrück-Center for Molecular Medicine (MDC), Robert-Rössle-Strasse 10, Berlin, 13125, Germany; El Sayed, N.S.E.D., Department of Pharmacology and Toxicology, Faculty of Pharmacy, Cairo University, Giza, 12613, Egypt, Department of Pharmacology and Toxicology, Faculty of Pharmacy and Biotechnology, German University in Cairo, Main Entrance of Al Tagamoa Al Khames, New Cairo City, 11835, Egypt",Article,Final,,Scopus,2-s2.0-85032477793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"El-Houseini M.E., Ismail A., Abdelaal A.A., El-Habashy A.H., Abdallah Z.F., Mohamed M.Z., El-Hadidi M., Cho W.C.S., Ahmed H., Al-Shafie T.A.",6506113583;7201548302;16548876700;57202257466;57193450344;57212580779;57062645000;55427728500;57212337134;57194237105;,Role of TGF-β1 and C-Kit Mutations in the Development of Hepatocellular Carcinoma in Hepatitis C Virus-Infected Patients: in vitro Study,2019,Biochemistry (Moscow),84,8,,941,953,,1,10.1134/S0006297919080108,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070667113&doi=10.1134%2fS0006297919080108&partnerID=40&md5=e65f89828d205c40ddb57d27cdc61e40,"Cairo University, National Cancer Institute, Department of Cancer Biology, Cairo, 11796, Egypt; Ain Shams University, Faculty of Medicine, Department of Surgery, Cairo, 11566, Egypt; Cairo University, National Cancer Institute, Department of Pathology, Cairo, 11796, Egypt; Medical Center of Egyptian Railways, Department of Medical Laboratory, Cairo, 11669, Egypt; Nile University, Center of Informatics Science, Giza, 12525, Egypt; Queen Elizabeth Hospital, Department of Clinical Oncology, Kowloon, Hong Kong; GlycoMantra, Inc., Baltimore, MD  21227, United States; Pharos University in Alexandria, Faculty of Pharmacy and Drug Manufacturing, Department of Pharmacology and Therapeutics, Alexandria, 21311, Egypt","El-Houseini, M.E., Cairo University, National Cancer Institute, Department of Cancer Biology, Cairo, 11796, Egypt; Ismail, A., Ain Shams University, Faculty of Medicine, Department of Surgery, Cairo, 11566, Egypt; Abdelaal, A.A., Ain Shams University, Faculty of Medicine, Department of Surgery, Cairo, 11566, Egypt; El-Habashy, A.H., Cairo University, National Cancer Institute, Department of Pathology, Cairo, 11796, Egypt; Abdallah, Z.F., Cairo University, National Cancer Institute, Department of Cancer Biology, Cairo, 11796, Egypt; Mohamed, M.Z., Medical Center of Egyptian Railways, Department of Medical Laboratory, Cairo, 11669, Egypt; El-Hadidi, M., Nile University, Center of Informatics Science, Giza, 12525, Egypt; Cho, W.C.S., Queen Elizabeth Hospital, Department of Clinical Oncology, Kowloon, Hong Kong; Ahmed, H., GlycoMantra, Inc., Baltimore, MD  21227, United States; Al-Shafie, T.A., Cairo University, National Cancer Institute, Department of Cancer Biology, Cairo, 11796, Egypt, Pharos University in Alexandria, Faculty of Pharmacy and Drug Manufacturing, Department of Pharmacology and Therapeutics, Alexandria, 21311, Egypt",Article,Final,,Scopus,2-s2.0-85070667113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jothi G., Inbarani H.H., Azar A.T., Devi K.R.",55489812100;57209788446;57208175025;57191428184;,Rough set theory with Jaya optimization for acute lymphoblastic leukemia classification,2019,Neural Computing and Applications,31,9,,5175,5194,,10,10.1007/s00521-018-3359-7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042117023&doi=10.1007%2fs00521-018-3359-7&partnerID=40&md5=efff21945ea74c6666b352036967abb1,"Department of Information Technology, Sona College of Technology (Autonomous), Salem, Tamil Nadu  636 005, India; Department of Computer Science, Periyar University, Salem, Tamil Nadu  636 011, India; Faculty of Computers and Information, Benha University, Benha, Egypt; School of Engineering and Applied Sciences, Nile University Campus, Sheikh Zayed District, Juhayna Square, 6th of October City, Giza, 12588, Egypt","Jothi, G., Department of Information Technology, Sona College of Technology (Autonomous), Salem, Tamil Nadu  636 005, India; Inbarani, H.H., Department of Computer Science, Periyar University, Salem, Tamil Nadu  636 011, India; Azar, A.T., Faculty of Computers and Information, Benha University, Benha, Egypt, School of Engineering and Applied Sciences, Nile University Campus, Sheikh Zayed District, Juhayna Square, 6th of October City, Giza, 12588, Egypt; Devi, K.R., Department of Computer Science, Periyar University, Salem, Tamil Nadu  636 011, India",Article,Final,,Scopus,2-s2.0-85042117023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fathy A., Elbatt T., Youssef M.",57197562160;6602728758;7102125877;,SANC: Source authentication using network coding,2011,"2011 IEEE Conference on Computer Communications Workshops, INFOCOM WKSHPS 2011",,,5928775,1012,1017,,3,10.1109/INFCOMW.2011.5928775,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79960595492&doi=10.1109%2fINFCOMW.2011.5928775&partnerID=40&md5=9291ff87a8592928fc65466dff10fd53,"Wireless Intelligent Network Center, Nile University, Cairo, Egypt; Alexandria University, E-JUST, Egypt","Fathy, A., Wireless Intelligent Network Center, Nile University, Cairo, Egypt; Elbatt, T., Wireless Intelligent Network Center, Nile University, Cairo, Egypt; Youssef, M., Alexandria University, E-JUST, Egypt",Conference Paper,Final,,Scopus,2-s2.0-79960595492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hanafy A.A., Azer M.A., Noureldin S.H.",55028329000;24476232400;54891545300;,SAODV and modified SAODV performance comparison,2013,"Proceedings - 2013 8th International Conference on Computer Engineering and Systems, ICCES 2013",,,6707180,95,98,,1,10.1109/ICCES.2013.6707180,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893676260&doi=10.1109%2fICCES.2013.6707180&partnerID=40&md5=5a6db3121da34ac5a95ebb123b9a9040,"Information Technology Industry Development Agency (ITIDA), Cairo, Egypt; Nile University (NU), National Telecommunication Institute (NTI), Cairo, Egypt","Hanafy, A.A., Information Technology Industry Development Agency (ITIDA), Cairo, Egypt; Azer, M.A., Nile University (NU), National Telecommunication Institute (NTI), Cairo, Egypt; Noureldin, S.H., Information Technology Industry Development Agency (ITIDA), Cairo, Egypt",Conference Paper,Final,,Scopus,2-s2.0-84893676260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Elkerdawy S., Eldesokey A., Salaheldin A., ElHelw M.",56442771400;56442758100;36081995600;7801537176;,Scale-adaptive object tracking with diverse ensembles,2014,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),8887,,,639,646,,,10.1007/978-3-319-14249-4_61,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84916620390&doi=10.1007%2f978-3-319-14249-4_61&partnerID=40&md5=f118ad80106e5eee69673da96e1e4b38,"Center for Informatics Science, Nile University, Giza, Egypt","Elkerdawy, S., Center for Informatics Science, Nile University, Giza, Egypt; Eldesokey, A., Center for Informatics Science, Nile University, Giza, Egypt; Salaheldin, A., Center for Informatics Science, Nile University, Giza, Egypt; ElHelw, M., Center for Informatics Science, Nile University, Giza, Egypt",Conference Paper,Final,,Scopus,2-s2.0-84916620390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mamdouh T., El Gayar N., El Azab I.A.",8865376400;14063162200;35100182300;,Score-based fusion using quality measures in a semi-supervised identity verification system,2010,INFOS2010 - 2010 7th International Conference on Informatics and Systems,,,5461751,,,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77953154403&partnerID=40&md5=e7fd377d73f922f8832660bcc031b917,"Faculty of Computers and Information, Cairo University, 12613 Giza, Egypt; Center for Informatics Science, School of Communication and Information Technology, Nile University, Egypt","Mamdouh, T., Faculty of Computers and Information, Cairo University, 12613 Giza, Egypt; El Gayar, N., Faculty of Computers and Information, Cairo University, 12613 Giza, Egypt, Center for Informatics Science, School of Communication and Information Technology, Nile University, Egypt; El Azab, I.A., Faculty of Computers and Information, Cairo University, 12613 Giza, Egypt",Conference Paper,Final,,Scopus,2-s2.0-77953154403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abd El-Latif A.A., Abd-El-Atty B., Elseuofi S., Khalifa H.S., Alghamdi A.S., Polat K., Amin M.",8578949200;57191886756;57211430945;57211083881;57195754580;8945093900;55193157600;,Secret images transfer in cloud system based on investigating quantum walks in steganography approaches,2020,Physica A: Statistical Mechanics and its Applications,541,,123687,,,,6,10.1016/j.physa.2019.123687,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076796491&doi=10.1016%2fj.physa.2019.123687&partnerID=40&md5=615bcd2ce27215a1d9a0047fa8e89f74,"Department of Mathematics and Computer Science, Faculty of Science, Menoufia University32511, Egypt; School of Information Technology and Computer Science, Nile University, Egypt; Department of Cybersecurity, College of Computer Science and Engineering, University of Jeddah, Saudi Arabia; Computer Science Department, Higher Institute for Computer Science and Information Systems, Culture & Science City, 6 October, Egypt; Computer Science Department, Misr Higher Institute of Commerce and Computers, Egypt; Bolu Abant İzzet Baysal University, Faculty of Engineering, Department of Electrical and Electronics Engineering, Bolu, Turkey; School of Computer Science and Technology, Harbin Institute of Technology, Harbin, 150080, China","Abd El-Latif, A.A., Department of Mathematics and Computer Science, Faculty of Science, Menoufia University32511, Egypt, School of Information Technology and Computer Science, Nile University, Egypt, School of Computer Science and Technology, Harbin Institute of Technology, Harbin, 150080, China; Abd-El-Atty, B., Department of Mathematics and Computer Science, Faculty of Science, Menoufia University32511, Egypt; Elseuofi, S., Computer Science Department, Higher Institute for Computer Science and Information Systems, Culture & Science City, 6 October, Egypt; Khalifa, H.S., Computer Science Department, Misr Higher Institute of Commerce and Computers, Egypt; Alghamdi, A.S., Department of Cybersecurity, College of Computer Science and Engineering, University of Jeddah, Saudi Arabia; Polat, K., Bolu Abant İzzet Baysal University, Faculty of Engineering, Department of Electrical and Electronics Engineering, Bolu, Turkey; Amin, M., Department of Mathematics and Computer Science, Faculty of Science, Menoufia University32511, Egypt",Article,Final,,Scopus,2-s2.0-85076796491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fathy M., Azer M., Bahgat M., Yehia A.",57207502405;24476232400;57196983119;36449401500;,Security access control research trends,2013,"Proceedings of 2013 6th Joint IFIP Wireless and Mobile Networking Conference, WMNC 2013",,,6549056,,,,,10.1109/WMNC.2013.6549056,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84881445862&doi=10.1109%2fWMNC.2013.6549056&partnerID=40&md5=387301bed9313ce67f7f14674bb88220,"Nile University, Cairo, Egypt; National Telecommunication Institute (NTI), Nile University, Cairo, Egypt","Fathy, M., Nile University, Cairo, Egypt; Azer, M., National Telecommunication Institute (NTI), Nile University, Cairo, Egypt; Bahgat, M., Nile University, Cairo, Egypt; Yehia, A., Nile University, Cairo, Egypt",Conference Paper,Final,,Scopus,2-s2.0-84881445862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sayed W.S., Tolba M.F., Radwan A.G., Abd-El-Hafiz S.K., Soliman A.M.",56902453700;56912006300;7103379659;6603636787;7201839953;,Security and Efficiency of Feistel Networks Versus Discrete Chaos for Lightweight Speech Encryption,2018,"Proceedings of the International Conference on Microelectronics, ICM",2018-December,,8704022,92,95,,,10.1109/ICM.2018.8704022,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065720873&doi=10.1109%2fICM.2018.8704022&partnerID=40&md5=9ae51e49385ace458158a554c88d43bf,"Engineering Mathematics and Physics Department, Cairo University, Giza, 12613, Egypt; Nanoelectronics Integrated Systems Center, Nile University, Cairo, 12588, Egypt; Electronics and Communications Engineering Department, Faculty of Engineering, Cairo University, Giza, 12613, Egypt","Sayed, W.S., Engineering Mathematics and Physics Department, Cairo University, Giza, 12613, Egypt; Tolba, M.F., Nanoelectronics Integrated Systems Center, Nile University, Cairo, 12588, Egypt; Radwan, A.G., Engineering Mathematics and Physics Department, Cairo University, Giza, 12613, Egypt, Nanoelectronics Integrated Systems Center, Nile University, Cairo, 12588, Egypt; Abd-El-Hafiz, S.K., Nanoelectronics Integrated Systems Center, Nile University, Cairo, 12588, Egypt; Soliman, A.M., Electronics and Communications Engineering Department, Faculty of Engineering, Cairo University, Giza, 12613, Egypt",Conference Paper,Final,,Scopus,2-s2.0-85065720873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
